Film,Genre,Lead Studio,Audience  score %,Profitability Ratio,Rotten Tomatoes %,Worldwide Gross,Year,Budget,Net Income
27 Dresses,Comedy,Fox,71,5.3436218,40,160.308654,2008,30,130.308654
(500) Days of Summer,Comedy,Fox,81,8.096,87,60.72,2009,7.5,53.22
A Dangerous Method,Drama,Independent,89,0.44864475,79,8.972895,2011,20,-11.027105
A Serious Man,Drama,Universal,64,4.382857143,89,30.68,2009,7,23.68
Across the Universe,Romance,Independent,84,0.652603178,54,29.367143,2007,44.99999998,-15.63285698
Beginners,Comedy,Independent,80,4.471875,84,14.31,2011,3.2,11.11
Dear John,Drama,Sony,66,4.5988,29,114.97,2010,25,89.97
Enchanted,Comedy,Disney,80,4.005737082,93,340.487652,2007,85.00000001,255.487652
Fireproof,Drama,Independent,51,66.934,40,33.467,2008,0.5,32.967
Four Christmases,Comedy,Warner Bros.,52,2.022925,26,161.834,2008,80,81.834
Ghosts of Girlfriends Past,Comedy,Warner Bros.,47,2.0444,27,102.22,2009,50,52.22
Gnomeo and Juliet,Animation,Disney,52,5.387972222,56,193.967,2011,36,157.967
Going the Distance,Comedy,Warner Bros.,56,1.3140625,53,42.05,2010,32,10.05
Good Luck Chuck,Comedy,Lionsgate,61,2.36768512,3,59.192128,2007,25,34.192128
He's Just Not That Into You,Comedy,Warner Bros.,60,7.1536,42,178.84,2009,25,153.84
High School Musical 3: Senior Year,Comedy,Disney,76,22.91313646,65,252.044501,2008,11,241.044501
I Love You Phillip Morris,Comedy,Independent,57,1.34,71,20.1,2010,15,5.1
It's Complicated,Comedy,Universal,63,2.642352941,56,224.6,2009,85.00000001,139.6
Jane Eyre,Romance,Universal,77,,85,30.147,2011,#DIV/0!,#DIV/0!
Just Wright,Comedy,Fox,58,1.797416667,45,21.569,2010,12,9.569000002
Killers,Action,Lionsgate,45,1.245333333,11,93.4,2010,75.00000002,18.39999998
Knocked Up,Comedy,Universal,83,6.636401848,91,219.001261,2007,33,186.001261
Leap Year,Comedy,Universal,49,1.715263158,21,32.59,2010,19,13.59
Letters to Juliet,Comedy,Summit,62,2.639333333,40,79.18,2010,30,49.18
License to Wed,Comedy,Warner Bros.,55,1.9802064,8,69.307224,2007,35,34.307224
Life as We Know It,Comedy,Independent,62,2.530526316,28,96.16,2010,38,58.16
Love & Other Drugs,Comedy,Fox,55,1.817666667,48,54.53,2010,29.99999999,24.53000001
Love Happens,Drama,Universal,40,2.004444444,18,36.08,2009,18,18.08
Made of Honor,Comedy,Sony,61,2.64906835,13,105.962734,2008,40,65.962734
Mamma Mia!,Comedy,Universal,76,9.234453864,53,609.473955,2008,66,543.473955
Marley and Me,Comedy,Fox,77,3.746781818,63,206.073,2008,55,151.073
Midnight in Paris,Romance,Sony,84,8.744705882,93,148.66,2011,17,131.66
Miss Pettigrew Lives for a Day,Comedy,Independent,70,0.2528949,78,15.173694,2008,60,-44.826306
Monte Carlo,Romance,20th Century Fox,50,1.9832,38,39.664,2011,20,19.664
Music and Lyrics,Romance,Warner Bros.,70,3.64741055,63,145.896422,2007,40,105.896422
My Week with Marilyn,Drama,The Weinstein Company,84,0.8258,83,8.258,2011,10,-1.742
New Year's Eve,Romance,Warner Bros.,48,2.536428571,8,142.04,2011,56.00000001,86.03999999
Nick and Norah's Infinite Playlist,Comedy,Sony,67,3.3527293,73,33.527293,2008,10,23.527293
No Reservations,Comedy,,64,3.307180357,39,92.60105,2007,28,64.60105
Not Easily Broken,Drama,Independent,66,2.14,34,10.7,2009,5,5.7
One Day,Romance,Independent,54,3.682733333,37,55.241,2011,15,40.241
Our Family Wedding,Comedy,Independent,49,,14,21.37,2010,#DIV/0!,#DIV/0!
Over Her Dead Body,Comedy,New Line,47,2.071,15,20.71,2008,10,10.71
P.S. I Love You,Romance,Independent,82,5.103116833,21,153.093505,2007,30,123.093505
Penelope,Comedy,Summit,74,1.382799733,52,20.741996,2008,15,5.741995996
Rachel Getting Married,Drama,Independent,61,1.384166667,85,16.61,2008,12,4.610000003
Remember Me,Drama,Summit,70,3.49125,28,55.86,2010,16,39.86
Sex and the City,Comedy,Warner Bros.,81,7.221795791,49,415.253258,2008,57.5,357.753258
Sex and the City 2,Comedy,Warner Bros.,49,2.8835,15,288.35,2010,100,188.35
She's Out of My League,Comedy,Paramount,60,2.4405,57,48.81,2010,20,28.81
Something Borrowed,Romance,Independent,,1.719514286,,60.183,2011,34.99999999,25.18300001
Tangled,Animation,Disney,88,1.365692308,89,355.08,2010,259.9999999,95.08000006
The Back-up Plan,Comedy,CBS,47,2.202571429,20,77.09,2010,34.99999999,42.09000001
The Curious Case of Benjamin Button,Fantasy,Warner Bros.,81,1.78394375,73,285.431,2008,160,125.431
The Duchess,Drama,Paramount,68,3.207850222,60,43.305978,2008,13.5,29.805978
The Heartbreak Kid,Comedy,Paramount,41,2.129444167,30,127.76665,2007,59.99999999,67.76665001
The Invention of Lying,Comedy,Warner Bros.,47,1.751351351,56,32.4,2009,18.5,13.9
The Proposal,Comedy,Disney,74,7.8675,43,314.7,2009,40,274.7
The Time Traveler's Wife,Drama,Paramount,65,2.598205128,38,101.33,2009,39,62.33
The Twilight Saga: New Moon,Drama,Summit,78,14.1964,27,709.82,2009,50,659.82
The Ugly Truth,Comedy,Independent,68,5.402631579,14,205.3,2009,38,167.3
Twilight,Romance,Summit,82,10.18002703,49,376.661,2008,36.99999999,339.661
Twilight: Breaking Dawn,Romance,Independent,68,6.383363636,26,702.17,2011,110,592.17
Tyler Perry's Why Did I get Married,Romance,Independent,47,3.7241924,46,55.862886,2007,15,40.862886
Valentine's Day,Comedy,Warner Bros.,54,4.184038462,17,217.57,2010,51.99999999,165.57
Waiting For Forever,Romance,Independent,53,0.005,6,0.025,2011,5,-4.975
Waitress,Romance,Independent,67,11.0897415,89,22.179483,2007,2,20.179483
WALL-E,Animation,Disney,89,2.896019067,96,521.283432,2008,180,341.283432
Water For Elephants,Drama,20th Century Fox,72,3.081421053,60,117.094,2011,38,79.094
What Happens in Vegas,Comedy,Fox,72,6.267647029,28,219.367646,2008,35,184.367646
When in Rome,Comedy,Disney,44,,15,43.04,2010,#DIV/0!,#DIV/0!
You Will Meet a Tall Dark Stranger,Comedy,Independent,35,1.211818182,43,26.66,2010,22,4.660000003
Youth in Revolt,Comedy,The Weinstein Company,52,1.09,68,19.62,2010,18,1.62
Zack and Miri Make a Porno,Romance,The Weinstein Company,70,1.747541667,64,41.941,2008,24,17.941
